trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7999727612787786, 'e': 0.9999546021312976}",25,0,-223.84521360612524,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 4}",0
2,False,"{'a': 0.7999259632544082, 'e': 0.9998766054240137}",20,0,-131.09244785898014,"{0: 8, 1: 2, 2: 7, 3: 3, 4: 0}",0
3,False,"{'a': 0.7999259632544082, 'e': 0.9998766054240137}",20,0,-74.49838587525026,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.7997987899217203, 'e': 0.9996646498695336}",20,0,-61.63910407994604,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.7997987899217203, 'e': 0.9996646498695336}",20,0,-103.4470901283523,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.7994533692833596, 'e': 0.9990889488055994}",25,0,-115.46490856680151,"{0: 12, 1: 3, 2: 9, 3: 1, 4: 0}",0
7,False,"{'a': 0.7994533692833596, 'e': 0.9990889488055994}",20,0,-26.521662168650984,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.7985164261060191, 'e': 0.9975273768433653}",20,0,-53.88587044383598,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.7985164261060191, 'e': 0.9975273768433653}",20,0,-113.06649299950273,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.7959842894454292, 'e': 0.9933071490757153}",25,0,-79.25848569318708,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.7959842894454292, 'e': 0.9933071490757153}",25,0,-142.89246222094852,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.7892082740227451, 'e': 0.9820137900379085}",30,0,-79.96475846058873,"{0: 17, 1: 7, 2: 6, 3: 0, 4: 0}",0
13,False,"{'a': 0.7892082740227451, 'e': 0.9820137900379085}",20,12,-20.121890228555838,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.77154447609346, 'e': 0.9525741268224334}",20,11,-29.28262621661004,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 0.77154447609346, 'e': 0.9525741268224334}",25,0,-158.35889639469787,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.7284782467867295, 'e': 0.8807970779778823}",35,0,-154.52034893791608,"{0: 19, 1: 3, 2: 12, 3: 0, 4: 1}",0
17,False,"{'a': 0.7284782467867295, 'e': 0.8807970779778823}",25,0,-57.92323350537521,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
18,False,"{'a': 0.638635147178003, 'e': 0.7310585786300049}",25,0,-67.66379715464967,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.638635147178003, 'e': 0.7310585786300049}",20,0,-10.514724883980172,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.5}",20,14,13.150630110472417,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.5}",35,0,-128.01089505891687,"{0: 26, 1: 4, 2: 2, 3: 0, 4: 3}",0
22,False,"{'a': 0.3613648528219971, 'e': 0.2689414213699951}",30,10,4.518926713944503,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
23,False,"{'a': 0.3613648528219971, 'e': 0.2689414213699951}",20,3,5.4729246577081225,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.27152175321327054, 'e': 0.11920292202211755}",20,9,21.67892361647435,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.27152175321327054, 'e': 0.11920292202211755}",20,0,25.314078240914547,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
26,False,"{'a': 0.2284555239065401, 'e': 0.04742587317756678}",30,8,-5.307256889192315,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
27,False,"{'a': 0.2284555239065401, 'e': 0.04742587317756678}",20,14,11.858243036955031,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.21079172597725496, 'e': 0.01798620996209156}",25,17,16.256849647219994,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.21079172597725496, 'e': 0.01798620996209156}",20,5,22.633899289741507,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.20401571055457093, 'e': 0.0066928509242848554}",30,8,39.28034974390556,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.20401571055457093, 'e': 0.0066928509242848554}",20,16,9.436754510305835,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.2014835738939809, 'e': 0.0024726231566347743}",20,10,20.157490828078032,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.2014835738939809, 'e': 0.0024726231566347743}",25,17,13.549872147520295,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.2005466307166404, 'e': 0.0009110511944006454}",25,15,19.9638286676093,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.2005466307166404, 'e': 0.0009110511944006454}",20,13,12.309391467555114,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.2002012100782799, 'e': 0.0003353501304664781}",20,16,5.569392624768369,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.2002012100782799, 'e': 0.0003353501304664781}",25,16,15.958307173748729,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.20007403674559174, 'e': 0.00012339457598623172}",25,17,14.177838636674984,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.20007403674559174, 'e': 0.00012339457598623172}",20,16,9.655416778184104,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.20002723872122147, 'e': 4.5397868702434395e-05}",25,17,12.632967691175718,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,32.27850610253863,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,12,17.8963801751475,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,12,13.399557634591895,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,14,12.19551417363361,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,10,17.120603085112826,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,8,24.602924664714138,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,18,26.90002179935853,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,14,12.709554454520044,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,8,19.33605304665747,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,13,15.833424585461083,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",25,16,16.28410275354322,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",30,18,23.85121844130124,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",25,14,22.869814696231543,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",25,8,30.397006379843333,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,0,30.102776808071017,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,True,"{'a': 0, 'e': 0}",20,6,21.29619646829753,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,7,22.210105580336965,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",35,9,45.54431089464882,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",30,13,31.21327922934584,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,12,16.80304810703701,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",30,23,14.921840241315664,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",20,2,27.24347010448191,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",20,9,20.44927979347263,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",20,7,22.1070902854335,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",30,15,26.928841957708364,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0, 'e': 0}",20,16,9.500049399889825,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0, 'e': 0}",20,8,17.475934148589477,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
