trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-140.54442973546637,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-114.67712903026342,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,18,-15.882441527860472,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-71.50739489202269,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-97.81805887119113,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-230.25519206198248,"{0: 16, 1: 2, 2: 8, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-175.8849676498485,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,0,-162.7748947468543,"{0: 23, 1: 5, 2: 4, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-5.071530981117738,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-62.74972679179527,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-25.80504437106672,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-106.08024803384531,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-84.53957444772337,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,1,-210.4166606794671,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 5}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-166.02090161598267,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-15.546136189966774,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-78.87896207756194,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-140.12745293451792,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-160.62354842734658,"{0: 16, 1: 5, 2: 7, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,10,-11.733009803233491,"{0: 10, 1: 5, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,-61.25012082606643,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,11,-72.51594409096828,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,0,-80.16769505768131,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-162.17588694558475,"{0: 11, 1: 5, 2: 7, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",30,0,-265.93120456376755,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 5}",0
6,True,"{'a': 0, 'e': 0}",20,0,-77.58857323456454,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-85.98719167524601,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,-117.81671399819993,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,-64.75177698579225,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,10,-55.41216260597901,"{0: 5, 1: 3, 2: 1, 3: 0, 4: 1}",1
